datetime, value
2016010100,75
2016010101,-999
2016010102,26
2016010103,11
2016010104,46
2016010105,44
2016010106,9
2016010107,7
2016010108,14
2016010109,0
2016010110,0
2016010111,0
2016010112,0
2016010113,0
2016010114,0
2016010115,0
2016010116,0
2016010117,0
2016010118,0
2016010119,75
2016010120,32
2016010121,303
2016010122,646
2016010123,644
2016010200,549
2016010201,90
2016010202,39
2016010203,544
2016010204,41
2016010205,62
2016010206,600
2016010207,310
2016010208,59
2016010209,0
2016010210,0
2016010211,0
2016010212,0
2016010213,0
2016010214,0
2016010215,0
2016010216,0
2016010217,0
2016010218,0
2016010219,119
2016010220,381
2016010221,598
2016010222,712
2016010223,752
2016010300,677
2016010301,87
2016010302,67
2016010303,2
2016010304,20
2016010305,9
2016010306,9
2016010307,6
2016010308,24
2016010309,0
2016010310,0
2016010311,0
2016010312,0
2016010313,0
2016010314,0
2016010315,0
2016010316,0
2016010317,0
2016010318,0
2016010319,10
2016010320,51
2016010321,99
2016010322,69
2016010323,409
2016010400,753
2016010401,395
2016010402,52
2016010403,95
2016010404,307
2016010405,690
2016010406,755
2016010407,-999
2016010408,312
2016010409,0
2016010410,0
2016010411,0
2016010412,0
2016010413,0
2016010414,0
2016010415,0
2016010416,0
2016010417,0
2016010418,0
2016010419,37
2016010420,389
2016010421,236
2016010422,589
2016010423,782
2016010500,210
2016010501,351
2016010502,428
2016010503,806
2016010504,936
2016010505,-999
2016010506,-999
2016010507,625
2016010508,298
2016010509,0
2016010510,0
2016010511,0
2016010512,0
2016010513,0
2016010514,0
2016010515,0
2016010516,0
2016010517,0
2016010518,0
2016010519,167
2016010520,610
2016010521,841
2016010522,935
2016010523,946
2016010600,680
2016010601,696
2016010602,433
2016010603,834
2016010604,545
2016010605,-999
2016010606,751
2016010607,693
2016010608,236
2016010609,0
2016010610,0
2016010611,0
2016010612,0
2016010613,0
2016010614,0
2016010615,0
2016010616,0
2016010617,0
2016010618,0
2016010619,206
2016010620,713
2016010621,928
2016010622,1011
2016010623,1020
2016010700,-999
2016010701,-999
2016010702,1008
2016010703,1023
2016010704,1025
2016010705,1000
2016010706,-999
2016010707,786
2016010708,405
2016010709,0
2016010710,0
2016010711,0
2016010712,0
2016010713,0
2016010714,0
2016010715,0
2016010716,0
2016010717,0
2016010718,0
2016010719,-999
2016010720,-999
2016010721,-999
2016010722,-999
2016010723,182
2016010800,565
