datetime, value
2016010100,556
2016010101,-999
2016010102,478
2016010103,342
2016010104,427
2016010105,338
2016010106,145
2016010107,70
2016010108,37
2016010109,0
2016010110,0
2016010111,0
2016010112,0
2016010113,0
2016010114,0
2016010115,0
2016010116,0
2016010117,0
2016010118,0
2016010119,53
2016010120,122
2016010121,382
2016010122,631
2016010123,760
2016010200,866
2016010201,603
2016010202,507
2016010203,910
2016010204,399
2016010205,344
2016010206,475
2016010207,238
2016010208,60
2016010209,0
2016010210,0
2016010211,0
2016010212,0
2016010213,0
2016010214,0
2016010215,0
2016010216,0
2016010217,0
2016010218,0
2016010219,67
2016010220,248
2016010221,459
2016010222,661
2016010223,827
2016010300,954
2016010301,636
2016010302,605
2016010303,170
2016010304,316
2016010305,178
2016010306,116
2016010307,58
2016010308,44
2016010309,0
2016010310,0
2016010311,0
2016010312,0
2016010313,0
2016010314,0
2016010315,0
2016010316,0
2016010317,0
2016010318,0
2016010319,27
2016010320,132
2016010321,261
2016010322,351
2016010323,696
2016010400,938
2016010401,856
2016010402,523
2016010403,538
2016010404,633
2016010405,651
2016010406,492
2016010407,-999
2016010408,93
2016010409,0
2016010410,0
2016010411,0
2016010412,0
2016010413,0
2016010414,0
2016010415,0
2016010416,0
2016010417,0
2016010418,0
2016010419,42
2016010420,232
2016010421,325
2016010422,592
2016010423,817
2016010500,642
2016010501,762
2016010502,818
2016010503,939
2016010504,874
2016010505,-999
2016010506,-999
2016010507,289
2016010508,93
2016010509,0
2016010510,0
2016010511,0
2016010512,0
2016010513,0
2016010514,0
2016010515,0
2016010516,0
2016010517,0
2016010518,0
2016010519,61
2016010520,259
2016010521,481
2016010522,689
2016010523,857
2016010600,852
2016010601,923
2016010602,808
2016010603,946
2016010604,706
2016010605,-999
2016010606,474
2016010607,297
2016010608,86
2016010609,0
2016010610,0
2016010611,0
2016010612,0
2016010613,0
2016010614,0
2016010615,0
2016010616,0
2016010617,0
2016010618,0
2016010619,61
2016010620,267
2016010621,495
2016010622,707
2016010623,869
2016010700,-999
2016010701,-999
2016010702,1058
2016010703,1006
2016010704,896
2016010705,731
2016010706,-999
2016010707,312
2016010708,99
2016010709,0
2016010710,0
2016010711,0
2016010712,0
2016010713,0
2016010714,0
2016010715,0
2016010716,0
2016010717,0
2016010718,0
2016010719,-999
2016010720,-999
2016010721,-999
2016010722,-999
2016010723,519
2016010800,814
2016010801,1007
2016010802,1022
2016010803,1003
2016010804,890
2016010805,670
2016010806,421
2016010807,262
2016010808,37
2016010809,0
2016010810,0
2016010811,0
2016010812,0
2016010813,0
2016010814,0
2016010815,0
2016010816,0
2016010817,0
2016010818,0
2016010819,57
2016010820,253
2016010821,471
2016010822,692
2016010823,863
2016010900,975
2016010901,1040
2016010902,1047
2016010903,1007
2016010904,896
2016010905,734
2016010906,532
2016010907,307
2016010908,93
2016010909,0
2016010910,0
2016010911,0
2016010912,0
2016010913,0
2016010914,0
2016010915,0
2016010916,0
2016010917,0
2016010918,0
2016010919,54
2016010920,250
2016010921,467
2016010922,686
2016010923,850
2016011000,976
2016011001,1040
2016011002,1047
2016011003,1000
2016011004,892
2016011005,733
2016011006,528
2016011007,305
2016011008,49
2016011009,0
2016011010,0
2016011011,0
2016011012,0
2016011013,0
2016011014,0
2016011015,0
2016011016,0
2016011017,0
2016011018,0
2016011019,16
2016011020,79
2016011021,395
2016011022,677
2016011023,814
2016011100,954
2016011101,1002
2016011102,982
2016011103,406
2016011104,206
2016011105,208
2016011106,110
2016011107,76
2016011108,57
2016011109,0
2016011110,0
2016011111,0
2016011112,0
2016011113,0
2016011114,0
2016011115,0
2016011116,0
2016011117,0
2016011118,0
2016011119,46
2016011120,233
2016011121,455
2016011122,670
2016011123,840
2016011200,960
2016011201,1017
2016011202,1028
2016011203,-999
2016011204,893
2016011205,716
2016011206,513
2016011207,295
2016011208,93
2016011209,0
2016011210,0
2016011211,0
2016011212,0
2016011213,0
2016011214,0
2016011215,0
2016011216,0
2016011217,0
2016011218,0
2016011219,27
2016011220,144
2016011221,440
2016011222,657
2016011223,838
2016011300,957
2016011301,1021
2016011302,1026
2016011303,984
2016011304,-999
2016011305,693
2016011306,433
2016011307,88
2016011308,38
2016011309,0
2016011310,0
2016011311,0
2016011312,0
2016011313,0
2016011314,0
2016011315,0
2016011316,0
2016011317,0
2016011318,0
2016011319,37
2016011320,208
2016011321,253
2016011322,290
2016011323,172
2016011400,-999
2016011401,-999
2016011402,-999
2016011403,383
2016011404,272
2016011405,182
2016011406,-999
2016011407,258
2016011408,94
2016011409,0
2016011410,0
2016011411,0
2016011412,0
2016011413,0
2016011414,0
2016011415,0
2016011416,0
2016011417,0
2016011418,0
2016011419,41
2016011420,249
2016011421,473
2016011422,677
2016011423,858
2016011500,982
2016011501,1046
2016011502,1055
2016011503,1009
2016011504,900
2016011505,740
2016011506,-999
2016011507,311
2016011508,95
2016011509,0
2016011510,0
2016011511,0
2016011512,0
2016011513,0
2016011514,0
2016011515,0
2016011516,0
2016011517,0
2016011518,0
2016011519,36
2016011520,239
2016011521,469
2016011522,680
2016011523,846
2016011600,971
2016011601,1040
2016011602,1044
2016011603,1003
2016011604,894
2016011605,738
2016011606,527
2016011607,316
2016011608,71
2016011609,0
2016011610,0
2016011611,0
2016011612,0
2016011613,0
2016011614,0
2016011615,0
2016011616,0
2016011617,0
2016011618,0
2016011619,14
2016011620,101
2016011621,422
2016011622,355
2016011623,712
2016011700,954
2016011701,1041
2016011702,1042
2016011703,995
2016011704,891
2016011705,732
2016011706,532
2016011707,307
2016011708,95
2016011709,0
2016011710,0
2016011711,0
2016011712,0
2016011713,0
2016011714,0
2016011715,0
2016011716,0
2016011717,0
2016011718,0
2016011719,27
2016011720,222
2016011721,451
2016011722,669
2016011723,839
2016011800,962
2016011801,1033
2016011802,1044
2016011803,990
2016011804,886
2016011805,712
2016011806,524
2016011807,302
2016011808,92
2016011809,0
2016011810,0
2016011811,0
2016011812,0
2016011813,0
2016011814,0
2016011815,0
2016011816,0
2016011817,0
2016011818,0
2016011819,24
2016011820,218
2016011821,435
2016011822,641
2016011823,815
2016011900,942
2016011901,992
2016011902,741
2016011903,590
2016011904,568
2016011905,274
2016011906,273
2016011907,-999
2016011908,90
2016011909,0
2016011910,0
2016011911,0
2016011912,0
2016011913,0
2016011914,0
2016011915,0
2016011916,0
2016011917,0
2016011918,0
2016011919,8
2016011920,89
2016011921,102
2016011922,181
2016011923,443
2016012000,300
2016012001,450
2016012002,742
2016012003,935
2016012004,-999
2016012005,690
2016012006,468
2016012007,194
2016012008,43
2016012009,0
2016012010,0
2016012011,0
2016012012,0
2016012013,0
2016012014,0
2016012015,0
2016012016,0
2016012017,0
2016012018,0
2016012019,7
2016012020,96
2016012021,288
2016012022,331
2016012023,392
2016012100,626
2016012101,523
2016012102,883
2016012103,-999
2016012104,572
2016012105,547
2016012106,286
2016012107,154
2016012108,60
2016012109,0
2016012110,0
2016012111,0
2016012112,0
2016012113,0
2016012114,0
2016012115,0
2016012116,0
2016012117,0
2016012118,0
2016012119,3
2016012120,57
2016012121,90
2016012122,126
2016012123,170
2016012200,206
2016012201,239
2016012202,239
2016012203,307
2016012204,344
2016012205,383
2016012206,323
2016012207,162
2016012208,62
2016012209,0
2016012210,0
2016012211,0
2016012212,0
2016012213,0
2016012214,0
2016012215,0
2016012216,0
2016012217,0
2016012218,0
2016012219,7
2016012220,199
2016012221,417
2016012222,563
2016012223,604
2016012300,525
2016012301,489
2016012302,703
2016012303,746
2016012304,807
2016012305,626
2016012306,511
2016012307,289
2016012308,86
2016012309,0
2016012310,0
2016012311,0
2016012312,0
2016012313,0
2016012314,0
2016012315,0
2016012316,0
2016012317,0
2016012318,0
2016012319,2
2016012320,205
2016012321,430
2016012322,650
2016012323,829
2016012400,952
2016012401,1025
2016012402,1038
2016012403,994
2016012404,887
2016012405,684
2016012406,518
2016012407,287
2016012408,84
2016012409,0
2016012410,0
2016012411,0
2016012412,0
2016012413,0
2016012414,0
2016012415,0
2016012416,0
2016012417,0
2016012418,0
2016012419,0
2016012420,201
2016012421,424
2016012422,644
2016012423,818
2016012500,935
2016012501,1001
2016012502,1020
2016012503,997
2016012504,890
2016012505,732
2016012506,533
2016012507,305
2016012508,88
2016012509,0
2016012510,0
2016012511,0
2016012512,0
2016012513,0
2016012514,0
2016012515,0
2016012516,0
2016012517,0
2016012518,0
2016012519,0
2016012520,198
2016012521,422
2016012522,642
2016012523,820
2016012600,944
2016012601,1000
2016012602,985
2016012603,952
2016012604,764
2016012605,608
2016012606,390
2016012607,249
2016012608,59
2016012609,0
2016012610,0
2016012611,0
2016012612,0
2016012613,0
2016012614,0
2016012615,0
2016012616,0
2016012617,0
2016012618,0
2016012619,0
2016012620,62
2016012621,167
2016012622,296
2016012623,235
2016012700,227
2016012701,-999
2016012702,-999
2016012703,462
2016012704,738
2016012705,-999
2016012706,449
2016012707,161
2016012708,50
2016012709,0
2016012710,0
2016012711,0
2016012712,0
2016012713,0
2016012714,0
2016012715,0
2016012716,0
2016012717,0
2016012718,0
2016012719,0
2016012720,177
2016012721,355
2016012722,563
2016012723,338
2016012800,-999
2016012801,238
2016012802,341
2016012803,844
2016012804,869
2016012805,720
2016012806,520
2016012807,292
2016012808,90
2016012809,0
2016012810,0
2016012811,0
2016012812,0
2016012813,0
2016012814,0
2016012815,0
2016012816,0
2016012817,0
2016012818,0
2016012819,-999
2016012820,107
2016012821,218
2016012822,622
2016012823,566
2016012900,920
2016012901,922
2016012902,548
2016012903,710
2016012904,876
2016012905,-999
2016012906,-999
2016012907,-999
2016012908,-999
2016012909,0
2016012910,0
2016012911,0
2016012912,0
2016012913,0
2016012914,0
2016012915,0
2016012916,0
2016012917,0
2016012918,0
2016012919,0
2016012920,107
2016012921,275
2016012922,609
2016012923,793
2016013000,658
2016013001,989
2016013002,733
2016013003,467
2016013004,366
2016013005,335
2016013006,105
2016013007,72
2016013008,21
2016013009,0
2016013010,0
2016013011,0
2016013012,0
2016013013,0
2016013014,0
2016013015,0
2016013016,0
2016013017,0
2016013018,0
2016013019,0
2016013020,54
2016013021,107
2016013022,183
2016013023,387
2016013100,393
2016013101,387
2016013102,335
2016013103,243
2016013104,204
2016013105,131
2016013106,149
2016013107,58
2016013108,17
2016013109,0
2016013110,0
2016013111,0
2016013112,0
2016013113,0
2016013114,0
2016013115,0
2016013116,0
2016013117,0
2016013118,0
2016013119,0
2016013120,181
2016013121,409
2016013122,631
2016013123,815
2016020100,943
2016020101,1021
2016020102,1036
2016020103,988
2016020104,881
2016020105,-999
2016020106,507
2016020107,281
2016020108,80
2016020109,0
2016020110,0
2016020111,0
2016020112,0
2016020113,0
2016020114,0
2016020115,0
2016020116,0
2016020117,0
2016020118,0
2016020119,-999
2016020120,186
2016020121,395
2016020122,602
2016020123,806
2016020200,906
2016020201,627
2016020202,952
2016020203,537
2016020204,380
2016020205,321
2016020206,222
2016020207,152
2016020208,42
2016020209,0
2016020210,0
2016020211,0
2016020212,0
2016020213,0
2016020214,0
2016020215,0
2016020216,0
2016020217,0
2016020218,0
2016020219,0
2016020220,88
2016020221,124
2016020222,246
2016020223,370
2016020300,426
2016020301,506
2016020302,536
2016020303,806
2016020304,611
2016020305,584
2016020306,500
2016020307,280
2016020308,76
2016020309,0
2016020310,0
2016020311,0
2016020312,0
2016020313,0
2016020314,0
2016020315,0
2016020316,0
2016020317,0
2016020318,0
2016020319,0
2016020320,179
2016020321,408
2016020322,627
2016020323,809
2016020400,937
2016020401,1016
2016020402,1031
2016020403,981
2016020404,-999
2016020405,-999
2016020406,508
2016020407,279
2016020408,74
2016020409,0
2016020410,0
2016020411,0
2016020412,0
2016020413,0
2016020414,0
2016020415,0
2016020416,0
2016020417,0
2016020418,0
2016020419,0
2016020420,168
2016020421,395
2016020422,617
2016020423,801
2016020500,930
2016020501,1009
2016020502,1025
2016020503,977
2016020504,-999
2016020505,-999
2016020506,503
2016020507,273
2016020508,71
2016020509,0
2016020510,0
2016020511,0
2016020512,0
2016020513,0
2016020514,0
2016020515,0
2016020516,0
2016020517,0
2016020518,0
2016020519,0
2016020520,164
2016020521,390
2016020522,612
2016020523,798
2016020600,927
2016020601,1005
2016020602,1019
2016020603,971
2016020604,865
2016020605,704
2016020606,492
2016020607,265
2016020608,66
2016020609,0
2016020610,0
2016020611,0
2016020612,0
2016020613,0
2016020614,0
2016020615,0
2016020616,0
2016020617,0
2016020618,0
2016020619,0
2016020620,154
2016020621,377
2016020622,598
2016020623,782
2016020700,909
2016020701,992
2016020702,1011
2016020703,967
2016020704,849
2016020705,691
2016020706,488
2016020707,262
2016020708,63
2016020709,0
2016020710,0
2016020711,0
2016020712,0
2016020713,0
2016020714,0
2016020715,0
2016020716,0
2016020717,0
2016020718,0
2016020719,0
2016020720,153
2016020721,377
2016020722,599
2016020723,786
2016020800,917
2016020801,995
2016020802,1009
2016020803,963
2016020804,858
2016020805,698
2016020806,485
2016020807,258
2016020808,60
2016020809,0
2016020810,0
2016020811,0
2016020812,0
2016020813,0
2016020814,0
2016020815,0
2016020816,0
2016020817,0
2016020818,0
2016020819,0
2016020820,153
2016020821,378
2016020822,601
2016020823,787
2016020900,918
2016020901,988
2016020902,1011
2016020903,985
2016020904,-999
2016020905,720
2016020906,508
2016020907,276
2016020908,62
2016020909,0
2016020910,0
2016020911,0
2016020912,0
2016020913,0
2016020914,0
2016020915,0
2016020916,0
2016020917,0
2016020918,0
2016020919,0
2016020920,155
2016020921,384
2016020922,607
2016020923,794
2016021000,918
2016021001,964
2016021002,974
2016021003,949
2016021004,836
2016021005,682
2016021006,465
2016021007,250
2016021008,53
2016021009,0
2016021010,0
2016021011,0
2016021012,0
2016021013,0
2016021014,0
2016021015,0
2016021016,0
2016021017,0
2016021018,0
2016021019,0
2016021020,149
2016021021,376
2016021022,600
2016021023,787
2016021100,918
2016021101,998
2016021102,1017
2016021103,960
2016021104,854
2016021105,693
2016021106,455
2016021107,250
2016021108,51
2016021109,0
2016021110,0
2016021111,0
2016021112,0
2016021113,0
2016021114,0
2016021115,0
2016021116,0
2016021117,0
2016021118,0
2016021119,0
2016021120,140
2016021121,363
2016021122,586
2016021123,775
2016021200,907
2016021201,984
2016021202,999
2016021203,950
2016021204,852
2016021205,692
2016021206,481
2016021207,230
2016021208,44
2016021209,0
2016021210,0
2016021211,0
2016021212,0
2016021213,0
2016021214,0
2016021215,0
2016021216,0
2016021217,0
2016021218,0
2016021219,0
2016021220,138
2016021221,360
2016021222,551
2016021223,767
2016021300,431
2016021301,955
2016021302,976
2016021303,368
2016021304,275
2016021305,301
2016021306,229
2016021307,120
2016021308,22
2016021309,0
2016021310,0
2016021311,0
2016021312,0
2016021313,0
2016021314,0
2016021315,0
2016021316,0
2016021317,0
2016021318,0
2016021319,0
2016021320,145
2016021321,374
2016021322,596
2016021323,781
2016021400,906
2016021401,976
2016021402,993
2016021403,951
2016021404,850
2016021405,693
2016021406,451
2016021407,228
2016021408,38
2016021409,0
2016021410,0
2016021411,0
2016021412,0
2016021413,0
2016021414,0
2016021415,0
2016021416,0
2016021417,0
2016021418,0
2016021419,0
2016021420,135
2016021421,360
2016021422,584
2016021423,773
2016021500,904
2016021501,977
2016021502,-999
2016021503,948
2016021504,846
2016021505,685
2016021506,472
2016021507,240
2016021508,37
2016021509,0
2016021510,0
2016021511,0
2016021512,0
2016021513,0
2016021514,0
2016021515,0
2016021516,0
2016021517,0
2016021518,0
2016021519,0
2016021520,129
2016021521,355
2016021522,578
2016021523,632
2016021600,900
2016021601,-999
2016021602,985
2016021603,941
2016021604,840
2016021605,685
2016021606,-999
2016021607,242
2016021608,33
2016021609,0
2016021610,0
2016021611,0
2016021612,0
2016021613,0
2016021614,0
2016021615,0
2016021616,0
2016021617,0
2016021618,0
2016021619,0
2016021620,135
2016021621,345
2016021622,565
2016021623,756
2016021700,815
2016021701,-999
2016021702,-999
2016021703,-999
2016021704,410
2016021705,513
2016021706,436
2016021707,-999
2016021708,-999
2016021709,0
2016021710,0
2016021711,0
2016021712,0
2016021713,0
2016021714,0
2016021715,0
2016021716,0
2016021717,0
2016021718,0
2016021719,0
2016021720,118
2016021721,338
2016021722,560
2016021723,750
2016021800,-999
2016021801,947
2016021802,966
